OID_,Latitude,Longitude,Altitude,Aerosol_Ty,Date,CWA,STATE_ZONE,Elevation,MH_AGL
1,34.26389481,-116.2025165,3.1,3,2009-08-31,VEF,CA228,739,2.361
2,34.26686363,-116.2033547,3.1,3,2009-08-31,VEF,CA228,739,2.361
3,34.26983229,-116.2041934,3.1,3,2009-08-31,VEF,CA228,737,2.363
4,34.27280087,-116.2050326,3.1,3,2009-08-31,VEF,CA228,729,2.371
5,34.27576943,-116.2058719,3.1,3,2009-08-31,VEF,CA228,715,2.385
6,34.27873802,-116.2067113,3.1,3,2009-08-31,VEF,CA228,720,2.38
7,34.28170673,-116.2075504,3.1,3,2009-08-31,VEF,CA228,718,2.382
8,34.2846756,-116.2083893,3.1,3,2009-08-31,VEF,CA228,714,2.386
9,34.28764468,-116.2092276,3.1,3,2009-08-31,VEF,CA228,709,2.391
10,34.29061395,-116.2100654,3.1,3,2009-08-31,VEF,CA228,698,2.402
11,34.29358334,-116.2109025,3.1,3,2009-08-31,VEF,CA228,684,2.416
12,34.29655282,-116.2117391,3.1,3,2009-08-31,VEF,CA228,664,2.436
13,34.29952233,-116.212575,3.1,3,2009-08-31,VEF,CA228,664,2.436
14,34.30249183,-116.2134103,3.1,3,2009-08-31,VEF,CA228,687,2.413
15,34.30546126,-116.2142449,3.1,3,2009-08-31,VEF,CA228,683,2.417
16,34.30843057,-116.2150787,3.1,3,2009-08-31,VEF,CA228,680,2.42
17,34.31139972,-116.2159119,3.1,3,2009-08-31,VEF,CA228,675,2.425
18,34.31436866,-116.2167442,3.1,3,2009-08-31,VEF,CA228,674,2.426
19,34.31733733,-116.2175758,3.1,3,2009-08-31,VEF,CA228,669,2.431
20,34.32030568,-116.2184066,3.1,3,2009-08-31,VEF,CA228,655,2.445
21,34.32327368,-116.2192366,3.1,3,2009-08-31,VEF,CA228,652,2.448
22,34.32624126,-116.2200656,3.1,3,2009-08-31,VEF,CA228,644,2.456
23,34.32920837,-116.2208939,3.1,3,2009-08-31,VEF,CA228,645,2.455
24,34.33217502,-116.2217212,3.1,3,2009-08-31,VEF,CA228,645,2.455
25,34.33514134,-116.2225478,3.1,3,2009-08-31,VEF,CA228,646,2.454
26,34.3381075,-116.2233738,3.1,3,2009-08-31,VEF,CA228,649,2.451
27,34.34107371,-116.2241994,3.1,3,2009-08-31,VEF,CA228,651,2.449
28,34.34404013,-116.2250247,3.1,3,2009-08-31,VEF,CA228,647,2.453
29,34.34700695,-116.2258499,3.1,3,2009-08-31,VEF,CA228,658,2.442
30,34.34997435,-116.2266752,3.1,3,2009-08-31,VEF,CA228,667,2.433
31,34.35294252,-116.2275008,3.1,3,2009-08-31,VEF,CA228,675,2.425
32,34.35591163,-116.2283267,3.1,3,2009-08-31,VEF,CA228,684,2.416
33,34.35888188,-116.2291531,3.1,3,2009-08-31,VEF,CA228,693,2.407
34,34.36185343,-116.2299803,3.1,3,2009-08-31,VEF,CA228,705,2.395
35,34.36482648,-116.2308083,3.1,3,2009-08-31,VEF,CA228,717,2.383
36,34.3678012,-116.2316374,3.1,3,2009-08-31,VEF,CA228,721,2.379
37,34.37077779,-116.2324676,3.1,3,2009-08-31,VEF,CA228,731,2.369
38,34.37375641,-116.2332993,3.1,3,2009-08-31,VEF,CA228,743,2.357
39,34.37673719,-116.2341323,3.1,3,2009-08-31,VEF,CA228,759,2.341
40,34.37972001,-116.2349668,3.1,3,2009-08-31,VEF,CA228,775,2.325
41,34.38270469,-116.2358025,3.1,3,2009-08-31,VEF,CA228,790,2.31
42,34.38569104,-116.2366392,3.1,3,2009-08-31,VEF,CA228,808,2.292
43,34.38867886,-116.2374769,3.1,3,2009-08-31,VEF,CA228,828,2.272
44,34.39166799,-116.2383154,3.1,3,2009-08-31,VEF,CA228,856,2.244
45,34.39465824,-116.2391545,3.1,3,2009-08-31,VEF,CA228,872,2.228
46,34.39764941,-116.239994,3.1,3,2009-08-31,VEF,CA228,890,2.21
47,34.40064133,-116.240834,3.1,3,2009-08-31,VEF,CA228,879,2.221
48,34.40363381,-116.2416741,3.1,3,2009-08-31,VEF,CA228,868,2.232
49,34.40662667,-116.2425143,3.1,3,2009-08-31,VEF,CA228,886,2.214
50,34.40961972,-116.2433543,3.1,3,2009-08-31,VEF,CA228,899,2.201
51,34.41261278,-116.2441942,3.1,3,2009-08-31,VEF,CA228,919,2.181
52,34.41560566,-116.2450336,3.1,3,2009-08-31,VEF,CA228,911,2.189
53,34.41859818,-116.2458725,3.1,3,2009-08-31,VEF,CA228,905,2.195
54,34.42159018,-116.2467107,3.1,3,2009-08-31,VEF,CA228,903,2.197
55,34.42458169,-116.2475484,3.1,3,2009-08-31,VEF,CA228,878,2.222
56,34.42757273,-116.2483854,3.1,3,2009-08-31,VEF,CA228,858,2.242
57,34.43056334,-116.249222,3.1,3,2009-08-31,VEF,CA228,849,2.251
58,34.43355357,-116.250058,3.1,3,2009-08-31,VEF,CA228,841,2.259
59,34.43654346,-116.2508938,3.1,3,2009-08-31,VEF,CA228,832,2.268
60,34.43953305,-116.2517291,3.1,3,2009-08-31,VEF,CA228,820,2.28
61,34.32756802,-117.7793153,5.17,6,2009-09-07,LOX,CA254,1934,3.236
62,34.33055544,-117.7801501,5.17,6,2009-09-07,LOX,CA254,2169,3.001
