,STATE_ZONE,Mixg_heights,Date,Time,PILS,NWS_ft,NWS_km,MH_AGL,Aerosol_Ty,std
0,AZ115,8800,2009-08-10,1012,FGZ,8800,2.68224,2.004613333333333,2,0.670324284034053
1,AZ106,9900,2009-08-10,1012,FGZ,9900,3.01752,2.198714285714286,5,0.004644505202002387
3,CA271, 7900-8900   ,2018-09-07,1248,REV,8400,2.56032,1.7357307692307695,3,0.7248123080397132
5,CA271, 8600-9300   ,2018-08-06,1147,REV,8950,2.72796,1.8049047619047625,5,0.40258672464096834
7,ID101,9000,2018-08-19,1208,OTX,9000,2.7432,3.7520772532188853,5,0.8897328749876563
8,ID101,6000,2015-08-27,1343,OTX,6000,1.8288,2.5247036328871895,5,0.7889732901760983
9,ID400,11500-13500  ,2011-09-08,1110,BOI,12500,3.81,3.2977818181818175,5,0.36236461899250216
10,ID402,6500-8500  ,2018-08-03,1424,BOI,7500,2.286,1.949310344827586,3,0.15740555069362255
11,ID403,7000-8500  ,2018-08-03,1424,BOI,7750,2.3622,2.163774193548387,3,0.16071708261775186
12,ID410,6250-7250  ,2018-08-21,905,PIH,6750,2.0574,4.346772151898734,6,0.995198787092994
13,ID411,7250-8250  ,2018-08-21,905,PIH,7750,2.3622,3.2753035714285725,2,0.6599047547885492
14,ID413,6250-7250  ,2018-08-21,905,PIH,6750,2.0574,2.749569620253166,5,0.28649710411023205
15,ID410,11500-12500  ,2018-08-05,940,PIH,12000,3.6576,3.606742063492065,6,0.3525564475960437
16,ID411,11000-12000  ,2018-08-05,940,PIH,11500,3.5052,3.3484741379310354,6,0.6311866183241089
17,ID413,11500-12500  ,2018-08-05,940,PIH,12000,3.6576,3.2708068181818177,6,0.5884475917036438
18,ID410,12750-14250  ,2011-08-25,932,PIH,13500,4.1148,0.71385,3,0.010349527132405896
19,ID476,13000-14000  ,2017-08-09,929,PIH,13500,4.1148,3.2774375,5,0.4373713017392731
20,ID403,9000-10500  ,2012-08-18,1448,BOI,9750,2.9718,1.533088888888889,5,0.6883252343789439
21,ID475,11750-12750  ,2012-08-02,1049,PIH,12250,3.7338,2.7153333333333336,6,0.07011656960614471
22,ID475,11750-12750  ,2012-08-18,941,PIH,12250,3.7338,2.404657142857143,5,0.5477512389581787
23,ID475,10750-11750  ,2008-08-23,1128,PIH,11250,3.429,1.48025,5,0.1815767023525027
24,NV469,11000,2018-08-26,809,LKN,11000,3.3528,1.6665212121212118,5,0.2972100880480776
25,OR606,7500,2018-08-22,1536,PQR,7500,2.286,1.479708737864078,3,0.2524130846748204
26,OR608,8000,2018-08-22,1536,PQR,8000,2.4384,1.8125251141552514,5,0.44898999095866804
27,OR639,7000,2018-08-15,1530,PDT,7000,2.1336,3.527945945945946,5,0.518826126078032
28,OR639,7000,2018-08-15,1731,PDT,7000,2.1336,3.527945945945946,5,0.518826126078032
29,OR610,9000,2018-08-15,1530,PDT,9000,2.7432,4.1395757575757575,6,0.20769584587549958
30,OR610,9000,2018-08-15,1731,PDT,9000,2.7432,4.1395757575757575,6,0.20769584587549958
31,OR639,9500,2017-08-28,1559,PDT,9500,2.8956,3.1805765306122455,6,0.7407195318622699
32,OR610,13000,2017-08-28,1559,PDT,13000,3.9624,2.76388679245283,5,0.2556602809301499
33,OR640,15500,2017-08-28,1559,PDT,15500,4.7244,1.378629370629371,5,0.6159712305690302
34,OR639,13100,2014-08-04,1546,PDT,13100,3.99288,3.946580645161287,5,0.3935340285930722
35,OR610,11800,2014-08-04,1546,PDT,11800,3.59664,4.348093333333333,5,0.39240416882560253
36,OR640,13000,2014-08-04,1546,PDT,13000,3.9624,4.287427160493829,6,0.438812763419307
37,OR641,8000,2017-08-30,1617,PDT,8000,2.4384,2.4271,3,0.0071094616142464385
38,OR641,12000,2018-08-08,1537,PDT,12000,3.6576,3.329543103448276,5,0.5449028412103927
39,OR642,14000,2018-08-08,1537,PDT,14000,4.2672,3.6397897727272706,5,0.19825137603616586
40,OR644,14000,2018-08-08,1537,PDT,14000,4.2672,3.8741256281407037,5,0.5071469208122794
41,WA675,9000,2018-08-08,1537,PDT,9000,2.7432,3.698599033816423,3,0.414641263359805
42,OR641,11000,2017-08-05,1552,PDT,11000,3.3528,2.278599999999999,5,0.5578908293020727
43,WA675,10500,2017-08-05,1552,PDT,10500,3.2004,2.604096618357487,5,0.32806502483881045
44,OR645,14000,2018-08-10,1522,PDT,14000,4.2672,3.9846194690265486,5,0.33841195095053
45,WA653,300-1200  ,2018-08-15,1540,SEW,750,0.2286,4.0952087912087904,6,0.29409512884565875
46,WA655,800-1800  ,2018-08-15,1540,SEW,1300,0.39624,2.618875,5,0.5368645579393638
47,WA656,3000,2018-08-15,1540,SEW,3000,0.9144,3.8699354838709668,2,0.01408530081058725
48,WA657,2700,2018-08-15,1540,SEW,2700,0.82296,2.3313451776649767,5,0.30802077626652147
49,WA659,4200,2018-08-15,1540,SEW,4200,1.28016,1.8146461538461534,5,0.5167363705276387
50,WA653,3300,2009-09-23,1520,SEW,3300,1.00584,3.370130434782608,6,0.04340434032321293
51,WA658,4500,2017-08-05,1533,SEW,4500,1.3716,3.0587428571428568,6,0.5839041683759338
52,WA662,5500,2017-08-05,1533,SEW,5500,1.6764,2.3569999999999998,5,0.22024531777088954
53,WA660,7000,2018-08-15,1620,PQR,7000,2.1336,2.7243695652173914,5,0.11865549735743426
54,WA663,8000,2018-08-15,1620,PQR,8000,2.4384,3.0478090909090905,6,0.4482295958086646
55,WA684,7500,2011-08-30,1329,OTX,7500,2.286,1.8165408805031436,3,0.3080175842041594
56,WA673,6000,2011-08-30,1329,OTX,6000,1.8288,2.0143333333333335,3,0.07350056689123775
57,WA684,9000,2018-08-17,1211,OTX,9000,2.7432,4.343536121673006,6,0.44752275479204084
58,WA684,9000,2018-08-17,1805,OTX,9000,2.7432,4.343536121673006,6,0.44752275479204084
59,WA673,9000,2018-08-17,1211,OTX,9000,2.7432,4.218975000000001,6,0.6589329732493997
60,WA673,9000,2018-08-17,1805,OTX,9000,2.7432,4.218975000000001,6,0.6589329732493997
61,WA684,7000,2017-08-30,1450,OTX,7000,2.1336,3.8936108108108125,6,0.4201179957074843
62,WA684,7000,2017-08-30,1455,OTX,7000,2.1336,3.8936108108108125,6,0.4201179957074843
63,WA684,7000,2017-08-30,1721,OTX,7000,2.1336,3.8936108108108125,6,0.4201179957074843
64,WA673,7000,2017-08-30,1450,OTX,7000,2.1336,4.1448881118881165,6,0.5052695880524366
65,WA673,7000,2017-08-30,1455,OTX,7000,2.1336,4.1448881118881165,6,0.5052695880524366
66,WA673,7000,2017-08-30,1721,OTX,7000,2.1336,4.1448881118881165,6,0.5052695880524366
67,WA684,6000,2015-08-25,1350,OTX,6000,1.8288,2.181865248226951,5,0.9703760852895625
68,WA673,5000,2015-08-25,1350,OTX,5000,1.524,1.1484835164835165,3,0.45250393271115075
69,OR641,8800,2015-08-16,1527,PDT,8800,2.68224,2.0544827586206886,5,0.04371327686999312
70,WA675,9800,2015-08-16,1527,PDT,9800,2.98704,2.3299278846153832,6,0.2660698930938299
