,STATE_ZONE,Date,Altitude
0,AZ107,2009-08-10,3.94
1,AZ115,2009-08-10,3.94
2,CA214,2012-08-21,4.39
3,CA214,2017-08-19,1.75
4,CA214,2018-08-06,3.52
5,CA214,2018-09-07,3.76
6,CA216,2014-09-19,3.82
7,CA217,2014-09-19,4.06
8,CA218,2014-09-19,4.18
9,CA219,2018-08-06,0.91
10,CA220,2009-08-29,1.57
11,CA220,2018-08-06,1.48
12,CA226,2011-08-12,4.9
13,CA226,2015-08-23,4.57
14,CA228,2009-08-31,4.93
15,CA237,2007-08-24,0.76
16,CA237,2009-08-13,0.97
17,CA238,2007-08-08,1.72
18,CA238,2007-08-24,0.76
19,CA240,2009-08-13,0.43
20,CA251,2007-08-08,1.72
21,CA251,2007-08-24,0.76
22,CA252,2007-08-08,2.02
23,CA252,2007-08-24,2.62
24,CA253,2007-08-08,1.78
25,CA259,2009-09-07,1.18
26,CA263,2008-08-01,3.49
27,CA263,2012-08-28,2.5
28,CA263,2015-08-05,3.31
29,CA267,2018-08-06,2.23
30,CA268,2012-08-05,3.73
31,CA268,2012-08-21,4.15
32,CA268,2017-08-19,4.48
33,CA268,2018-08-06,3.28
34,CA269,2018-08-06,3.31
35,CA271,2012-08-05,3.7
36,CA271,2012-08-21,4.15
37,CA271,2017-08-19,4.48
38,CA271,2018-08-06,4.0
39,CA271,2018-09-07,2.23
40,CA274,2015-08-23,4.57
41,CA280,2006-08-28,3.97
42,CA280,2008-08-01,2.89
43,CA280,2011-09-11,3.1
44,CA280,2012-08-28,2.53
45,CA280,2013-08-15,3.64
46,CA280,2014-08-02,3.16
47,CA280,2014-09-03,2.14
48,CA280,2015-08-05,3.13
49,CA280,2017-08-26,2.35
50,CA280,2018-08-29,3.28
51,CA283,2008-08-01,3.37
52,CA283,2012-08-28,2.86
53,CA283,2014-08-02,4.75
54,CA283,2015-08-05,2.965
55,CA284,2012-08-21,3.31
56,CA284,2017-08-19,3.88
57,CA284,2017-09-04,2.41
58,CA284,2018-08-06,3.07
59,CA284,2018-08-22,3.85
60,CA285,2012-08-21,3.31
61,CA285,2018-08-06,3.01
62,CA285,2018-09-07,2.995
63,CA510,2014-09-19,3.52
64,CA511,2014-09-19,3.52
65,CA517,2016-08-23,1.96
66,CA579,2007-08-24,0.76
67,CA579,2009-08-13,0.97
68,CA580,2007-08-24,3.16
69,CA580,2009-08-13,0.97
70,CA580,2009-08-29,1.21
71,CA580,2018-08-06,1.87
72,CA590,2009-08-29,1.45
73,CA592,2015-08-23,4.72
74,CA594,2011-08-12,4.9
75,CA594,2016-08-25,4.72
76,CA595,2016-08-25,4.45
77,CA597,2009-08-13,0.97
78,ID101,2015-08-27,4.06
79,ID101,2018-08-19,4.765000000000001
80,ID102,2012-08-25,1.72
81,ID103,2012-08-18,2.875
82,ID103,2015-08-27,2.95
83,ID103,2017-09-01,2.8
84,ID400,2011-09-08,4.36
