OBJECTID,Field1,Lat,Lon,Date,Hour_UTC,PBLH_km,STATE_ZONE,CWA
1,4,33.44306564,-117.6095276,2006-08-14,21.20346844,0.599576682,CA554,SGX
2,5,33.53262711,-117.6342239,2006-08-14,21.20388178,0.629555523,CA554,SGX
3,6,33.62213516,-117.659256,2006-08-14,21.20429486,0.809428588,CA554,SGX
4,7,33.71147919,-117.6839905,2006-08-14,21.20470817,0.779449701,CA554,SGX
5,8,33.80089188,-117.709053,2006-08-14,21.2051215,0.779449701,CA554,SGX
6,9,33.890522,-117.7338181,2006-08-14,21.20553483,1.199153446,CA554,SGX
7,10,33.98007202,-117.7590027,2006-08-14,21.20594817,0.929343849,CA248,SGX
8,11,34.06907654,-117.7837906,2006-08-14,21.20636139,0.689513236,CA548,LOX
9,14,34.33589554,-117.8588181,2006-08-14,21.20760122,1.169174671,CA254,LOX
10,15,34.42508316,-117.8840714,2006-08-14,21.20801456,2.158476114,CA254,LOX
11,16,34.51429749,-117.9091873,2006-08-14,21.20842789,2.218433738,CA259,LOX
12,17,34.60331726,-117.934494,2006-08-14,21.20884122,0.989301562,CA259,LOX
13,18,34.69252396,-117.959671,2006-08-14,21.20925456,1.588878214,CA259,LOX
14,19,34.78154373,-117.9850845,2006-08-14,21.20966789,1.498941839,CA259,LOX
15,20,34.8708992,-118.010376,2006-08-14,21.21008122,2.937925756,CA299,HNX
16,22,35.04949951,-118.061264,2006-08-14,21.21090778,1.588878274,CA299,HNX
17,23,35.13865662,-118.0868912,2006-08-14,21.21132094,2.42828548,CA299,HNX
18,24,35.22786331,-118.1122971,2006-08-14,21.21173428,2.937925816,CA299,HNX
19,28,35.58532715,-118.2149124,2006-08-14,21.21338736,0.839407444,CA595,HNX
20,29,35.67470551,-118.2409286,2006-08-14,21.21380067,1.109216809,CA595,HNX
21,31,35.85359955,-118.2925491,2006-08-14,21.21462733,0.779449701,CA595,HNX
22,33,36.03184128,-118.3443146,2006-08-14,21.21545389,0.539618969,CA594,HNX
23,34,36.12030029,-118.3699799,2006-08-14,21.21586706,1.169174671,CA594,HNX
24,39,36.56536484,-118.5003967,2006-08-14,21.21793347,1.438984156,CA594,HNX
25,40,36.65443802,-118.526474,2006-08-14,21.21834678,1.828708887,CA594,HNX
26,43,36.92194748,-118.6056061,2006-08-14,21.21958678,2.847989559,CA593,HNX
27,47,37.2783165,-118.7115326,2006-08-14,21.22123983,1.738772631,CA592,HNX
28,48,37.36762619,-118.7382507,2006-08-14,21.22165317,2.428285599,CA226,VEF
29,51,37.63584518,-118.8185577,2006-08-14,21.22289317,1.409005404,CA274,REV
30,52,37.72483063,-118.8453827,2006-08-14,21.2233065,2.608158588,CA274,REV
31,53,37.8139801,-118.8721619,2006-08-14,21.22371983,2.66811657,CA274,REV
32,54,37.90316391,-118.8991394,2006-08-14,21.22413317,2.847989559,CA274,REV
33,58,38.25804138,-119.0069275,2006-08-14,21.22578622,1.019280434,NV421,REV
34,60,38.43622208,-119.0611572,2006-08-14,21.22661289,1.918645382,NV421,REV
35,61,38.5250206,-119.0885544,2006-08-14,21.22702597,0.839407444,NV421,REV
36,65,38.88128662,-119.1980515,2006-08-14,21.22867928,1.019280314,NV429,REV
37,66,38.97014999,-119.2257538,2006-08-14,21.2290925,1.708793521,NV429,REV
38,67,39.0592041,-119.2530518,2006-08-14,21.22950567,1.948624253,NV429,REV
39,68,39.14803696,-119.2808762,2006-08-14,21.229919,0.779449701,NV429,REV
40,73,39.59424591,-119.4199753,2006-08-14,21.23198539,0.719492078,NV420,REV
41,74,39.6830368,-119.4477997,2006-08-14,21.23239872,1.259111166,NV420,REV
42,75,39.77208328,-119.475914,2006-08-14,21.23281206,1.948624134,NV420,REV
43,80,40.21557999,-119.6166763,2006-08-14,21.23487844,2.038560748,NV420,REV
44,81,40.30458832,-119.6449432,2006-08-14,21.23529178,1.768751264,NV420,REV
45,82,40.39350128,-119.6733398,2006-08-14,21.23570511,2.218433738,NV420,REV
46,83,40.48220444,-119.701828,2006-08-14,21.23611844,1.349047661,NV458,REV
47,84,40.57105637,-119.730484,2006-08-14,21.23653178,2.098518372,NV458,REV
48,85,40.65985107,-119.7588348,2006-08-14,21.23694511,1.199153423,NV458,REV
49,87,40.83805084,-119.8162766,2006-08-14,21.23777178,1.379026413,NV458,REV
50,88,40.92673111,-119.8450928,2006-08-14,21.238185,2.068539619,NV458,REV
51,89,41.01561737,-119.8739395,2006-08-14,21.23859817,1.169174552,NV458,REV
52,92,41.28242111,-119.9607086,2006-08-14,21.23983817,2.458264351,NV458,REV
53,93,41.37137985,-119.9898605,2006-08-14,21.2402515,2.758052588,NV458,REV
54,95,41.54905319,-120.0481033,2006-08-14,21.24107789,2.907946825,CA270,REV
55,96,41.63794327,-120.0774002,2006-08-14,21.24149122,1.648836017,CA270,REV
56,97,41.72691345,-120.1066895,2006-08-14,21.24190456,2.818010569,CA270,REV
57,99,41.90533829,-120.1658401,2006-08-14,21.24273111,1.558899522,CA285,MFR
58,100,41.99422836,-120.1952972,2006-08-14,21.24314428,0.659534454,CA285,MFR
59,101,42.0830574,-120.2247543,2006-08-14,21.24355761,1.52892065,OR624,MFR
60,105,42.43722153,-120.3436661,2006-08-14,21.24521069,2.24841249,OR624,MFR
61,110,42.8805542,-120.4936981,2006-08-14,21.24727733,2.158475995,OR625,MFR
62,111,42.96925354,-120.5240097,2006-08-14,21.24769067,2.578179598,OR625,MFR
63,112,43.05791473,-120.5542984,2006-08-14,21.248104,1.498941779,OR625,MFR
64,113,43.14668655,-120.5847855,2006-08-14,21.24851733,0.899365067,OR625,MFR
65,114,43.235466,-120.6152878,2006-08-14,21.24893067,0.809428573,OR625,MFR
66,117,43.50165939,-120.7071457,2006-08-14,21.25017039,0.479661345,OR625,MFR
67,119,43.67936707,-120.7685623,2006-08-14,21.25099706,0.809428573,OR640,PDT
68,120,43.76858139,-120.7995148,2006-08-14,21.25141039,1.349047661,OR640,PDT
69,122,43.94635391,-120.8615417,2006-08-14,21.25223678,1.918645501,OR640,PDT
70,123,44.03490448,-120.8927231,2006-08-14,21.25265011,1.229132175,OR640,PDT
