,STATE_ZONE,Mixing_heights,Date,Time,PILS,Altitude,Mixing_heights_ft,NWS_km,MH_AGL
0,.DSCU,10000,2013-07-30,1428,MFR,2.26,10000,3.048,1.714092783505155
5,.DSCU, 6000-7500  ,2015-08-05,451,STO,3.31,6750,2.0574,2.507837837837837
6,FOECA,5000,2015-08-05,1021,STO,3.31,5000,1.524,2.507837837837837
13,.DSCU,6000,2018-09-07,1108,STO,3.76,6000,1.8288,2.495333333333333
15,.DSCU, 7000-8000  ,2012-08-21,1239,STO,4.15,7500,2.286,2.1852918918918944
16,.DSCU, 4000-5000   ,2012-08-21,1304,STO,4.15,4500,1.3716,2.1852918918918944
21,.DSCU,3500,2015-08-05,1319,MFR,3.13,3500,1.0668,1.5330769230769237
22,.DSCU, 3000-4500  ,2015-08-05,1632,MFR,3.13,3750,1.143,1.5330769230769237
23,.DSCU, 3000-4500  ,2015-08-05,1634,MFR,3.13,3750,1.143,1.5330769230769237
24,.DSCU,3500-4000  ,2015-08-05,2042,MFR,3.13,3750,1.143,1.5330769230769237
33,.DSCU,5000,2014-09-03,1321,MFR,2.14,5000,1.524,0.851822222222222
34,.DSCU, 8200-9600   ,2014-08-02,1331,MFR,3.16,8900,2.71272,2.297942857142855
38,.DSCU,7000,2008-08-17,1944,MFR,2.44,7000,2.1336,2.1571083333333325
54,.DSCU,7000,2008-08-17,2001,MFR,2.44,7000,2.1336,2.1571083333333325
106,.DSCU,4000,2011-09-11,1,MFR,3.1,4000,1.2192,2.5972067183462553
107,.DSCU,10800,2011-09-11,1105,MFR,3.1,10800,3.29184,2.5972067183462553
114,.DSCU,3400,2015-08-05,1722,EKA,2.965,3400,1.0363200000000001,1.7545151515151514
115,.DSCU,9600,2018-08-06,2304,MFR,3.01,9600,2.92608,1.6624172335600902
119,.DSCU,7000,2018-08-22,2206,MFR,3.46,7000,2.1336,2.037316455696201
123,.DSCU,10000-11000,2017-08-19,1356,MFR,2.8,10500,3.2004,1.4972005494505476
124,Th fl,2000-2500  ,2017-08-19,1445,MFR,2.8,2250,0.6858,1.4972005494505476
128,.DSCU,2000-4000  ,2017-08-19,1930,MFR,2.8,3000,0.9144,1.4972005494505476
129,.DSCU, 10000-11000  ,2017-08-19,1356,MFR,2.8,10500,3.2004,1.4972005494505476
147,.DSCU,14000,2017-09-04,1346,MFR,2.41,14000,4.2672,1.457417624521072
148,.DSCU,14000,2017-09-04,2021,MFR,2.41,14000,4.2672,1.457417624521072
149,.DSCU,14600-15400  ,2017-09-04,2324,MFR,2.41,15000,4.572,1.457417624521072
159,.DSCU,7000,2009-08-13,405,HNX,0.97,7000,2.1336,0.6348888888888888
160,.DSCU,9000,2009-08-13,531,HNX,0.97,9000,2.7432,0.6348888888888888
161,.DSCU,9000,2009-08-13,558,HNX,0.97,9000,2.7432,0.6348888888888888
162,.DSCU,8000,2009-08-13,637,HNX,0.97,8000,2.4384,0.6348888888888888
171,.DSCU,7000,2009-08-29,502,HNX,1.21,7000,2.1336,0.9490545073375268
173,.DSCU,900,2011-08-12,45,HNX,4.9,900,0.27432,1.7944137931034485
174,.DSCU,7000,2011-08-12,145,HNX,4.9,7000,2.1336,1.7944137931034485
175,Pror ,5900,2018-08-19,1939,OTX,4.765,5900,1.7983200000000001,3.7520772532188853
176,.DSCU,7500,2015-08-16,1517,OTX,2.29,7500,2.286,2.111634615384616
177,.DSCU,8800,2015-08-16,1933,OTX,2.29,8800,2.68224,2.111634615384616
178,DR AN,4500,2015-08-16,2152,OTX,2.29,4500,1.3716,2.111634615384616
200,.DSCU,10700,2012-08-27,323,MSO,3.73,10700,3.26136,2.4662157894736847
201,.DSCU,6500,2012-08-27,1547,MSO,3.73,6500,1.9812,2.4662157894736847
202,.DSCU,7700,2012-08-27,1912,MSO,3.73,7700,2.3469599999999997,2.4662157894736847
203,.DSCU,4900,2012-08-27,2013,MSO,3.73,4900,1.4935200000000002,2.4662157894736847
204,.DSCU,10900,2012-08-27,2156,MSO,3.73,10900,3.3223199999999995,2.4662157894736847
230,.DSCU,12500,2011-09-08,1523,BOI,4.66,12500,3.81,3.5187463768115923
235,.DSCU,8000,2018-08-03,1911,BOI,4.18,8000,2.4384,2.060116666666667
239,.DSCU,7000,2017-09-01,1244,BOI,3.13,7000,2.1336,1.3300185185185187
240,FOECA,5500,2016-08-27,1722,BOI,3.31,5500,1.6764,2.217620253164557
243,.DSCU,8800,2012-08-18,1000,PIH,4.96,8800,2.68224,3.6426152263374516
244,.DSCU,9700,2014-07-16,1650,MSO,3.82,9700,2.9565599999999996,3.924458105646628
245,.DSCU,9500,2014-07-16,2011,MSO,3.82,9500,2.8956,3.924458105646628
254,.DSCU,5000,2012-08-18,1210,MSO,2.875,5000,1.524,1.5356214833759583
255,.DSCU,3000,2012-08-18,1419,MSO,2.875,3000,0.9144,1.5356214833759583
256,.DSCU,3000,2012-08-18,1428,MSO,2.875,3000,0.9144,1.5356214833759583
257,.DSCU,5200,2012-08-18,1924,MSO,2.875,5200,1.5849600000000001,1.5356214833759583
266,.DSCU,7900,2007-08-14,1757,MSO,2.23,7900,2.4079200000000003,1.6787651515151516
267,.DSCU,7300,2007-08-14,1948,MSO,2.23,7300,2.2250400000000004,1.6787651515151516
270,.DSCU,8600,2013-08-23,1315,MSO,4.9,8600,2.62128,2.4798117647058837
271,.DSCU,7500,2013-08-23,1719,MSO,4.9,7500,2.286,2.4798117647058837
272,.DSCU,7200,2013-08-23,2225,MSO,4.9,7200,2.19456,2.4798117647058837
273,.DSCU,7700,2013-08-23,2249,MSO,4.9,7700,2.3469599999999997,2.4798117647058837
278,SHWER,7800,2007-08-30,1617,MSO,4.42,7800,2.37744,2.4969308176100617
281,FOECA,8500,2011-09-10,1723,MSO,4.96,8500,2.5908,2.9608550724637688
282,.DSCU,7100,2011-09-10,2034,MSO,4.96,7100,2.16408,2.9608550724637688
283,.DSCU,10100,2011-09-10,2251,MSO,4.96,10100,3.07848,2.9608550724637688
284,.DSCU,8100,2011-09-10,2332,MSO,4.96,8100,2.46888,2.9608550724637688
285,.DSCU,12000,2012-08-29,35,TFX,3.85,12000,3.6576,2.134326923076923
286,.DSCU,12000,2012-08-29,917,TFX,3.85,12000,3.6576,2.134326923076923
287,FOECA,5000,2012-08-29,1442,TFX,3.85,5000,1.524,2.134326923076923
288,FOECA,4500,2012-08-29,1927,TFX,3.85,4500,1.3716,2.134326923076923
301,S$,7000,2013-08-23,1221,TFX,4.93,7000,2.1336,3.0974004914004927
303,.DSCU,6500,2011-08-18,1520,TFX,4.42,6500,1.9812,2.454973333333334
304,.DSCU,9600,2013-09-01,1114,BYZ,6.01,9600,2.92608,4.260325648414989
307,.DSCU,7700,2011-09-12,1214,BYZ,4.66,7700,2.3469599999999997,2.0365508021390366
308,.DSCU,10000,2012-08-29,1351,BYZ,2.89,10000,3.048,1.4215135135135142
309,.DSCU,10900,2012-08-29,1407,BYZ,2.89,10900,3.3223199999999995,1.4215135135135142
310,TEPER,6000,2012-08-29,2040,BYZ,2.89,6000,1.8288,1.4215135135135142
311,TEPER,6000,2012-08-29,2137,BYZ,2.89,6000,1.8288,1.4215135135135142
312,.DSCU,10900,2012-08-29,2217,BYZ,2.89,10900,3.3223199999999995,1.4215135135135142
313,**THU,11500,2010-08-25,1706,PDT,2.23,11500,3.5052,1.2507555555555552
314,**THU,4500,2010-08-25,1848,PDT,2.23,4500,1.3716,1.2507555555555552
315,**THU,4500,2010-08-25,1852,PDT,2.23,4500,1.3716,1.2507555555555552
319,.DSCU,1600,2018-08-15,1133,PDT,3.91,1600,0.48768,3.606761290322581
322,**THU,3500,2011-08-28,1254,PDT,1.66,3500,1.0668,2.741215488215487
323,**THU,10500,2011-08-28,1600,PDT,1.66,10500,3.2004,2.741215488215487
328,.DSCU,7000,2014-08-27,1702,MFR,2.95,7000,2.1336,1.181964705882353
330,.DSCU,5000,2018-09-09,1858,BOI,3.19,5000,1.524,1.816294573643411
331,.DSCU,5000,2018-09-09,2053,BOI,3.19,5000,1.524,1.816294573643411
332,.DSCU,9000,2018-08-24,1016,BOI,2.35,9000,2.7432,1.7058126801152738
333,.DSCU,9000,2018-08-24,1743,BOI,2.35,9000,2.7432,1.7058126801152738
334,.DSCU,8500,2018-08-24,1840,BOI,2.35,8500,2.5908,1.7058126801152738
335,.DSCU,10500,2018-08-08,1010,BOI,5.08,10500,3.2004,3.0425059055118147
336,.DSCU,10500,2018-08-08,1433,BOI,5.08,10500,3.2004,3.0425059055118147
337,.DSCU,4500,2013-09-04,1048,BOI,4.45,4500,1.3716,2.933259887005651
338,.DSCU,6000,2013-09-04,2219,BOI,4.45,6000,1.8288,2.933259887005651
341,**THU,4500,2011-09-13,1749,PDT,3.61,4500,1.3716,2.4375999999999993
342,**THU,8000,2009-09-23,1055,PDT,3.04,8000,2.4384,2.3249408866995083
343,**THU,8000,2009-09-23,1230,PDT,3.04,8000,2.4384,2.3249408866995083
344,**THU,8000,2009-09-23,1231,PDT,3.04,8000,2.4384,2.3249408866995083
348,.DSCU,12000-13000  ,2017-08-30,2025,PDT,2.32,12500,3.81,2.4472200772200745
350,.DSCU, 7800-8300  ,2017-08-05,1110,PDT,3.07,8050,2.45364,2.515127314814816
351,.DSCU,10000,2017-08-05,1220,PDT,3.07,10000,3.048,2.515127314814816
352,.DSCU, 6900-8800   ,2017-08-05,1543,PDT,3.07,7850,2.39268,2.515127314814816
353,.DSCU,8500-10100  ,2017-08-05,2055,PDT,3.07,9300,2.8346400000000003,2.515127314814816
366,**THU,5000,2012-08-25,2011,PDT,1.75,5000,1.524,0.9771052631578948
