,STATE_ZONE,Mixing_heights,Date,Time,PILS,CWA,Altitude,Mixing_heights_ft,NWS_km,,,
0,.DSCU,10000,2013-07-30,1428,MFR,MFR,2.26,10000,3.048,,,
1,.DSCU,10000,2013-07-30,1428,MFR,MFR,2.26,10000,3.048,,,
2,.DSCU,10000,2013-07-30,1428,MFR,MFR,2.26,10000,3.048,,,
3,.DSCU,10000,2013-07-30,1428,MFR,MFR,2.26,10000,3.048,,,
4,.DSCU,10000,2013-07-30,1428,MFR,MFR,2.26,10000,3.048,,,
5,.DSCU, 6000-7500  ,2015-08-05,451,STO,STO,3.31,6750,2.0574,,,
6,FOECA,5000,2015-08-05,1021,STO,STO,3.31,5000,1.524,,,
7,.DSCU, 6000-7500  ,2015-08-05,451,STO,STO,3.31,6750,2.0574,,,
8,FOECA,5000,2015-08-05,1021,STO,STO,3.31,5000,1.524,,,
9,.DSCU, 6000-7500  ,2015-08-05,451,STO,STO,3.31,6750,2.0574,,,
10,FOECA,5000,2015-08-05,1021,STO,STO,3.31,5000,1.524,,,
11,.DSCU, 6000-7500  ,2015-08-05,451,STO,STO,3.31,6750,2.0574,,,
12,FOECA,5000,2015-08-05,1021,STO,STO,3.31,5000,1.524,,,
13,.DSCU, 5500-6500   ,2012-08-28,1236,STO,STO,2.5,6000,1.8288,,,
14,.DSCU, 5500-6500   ,2012-08-28,1236,STO,STO,2.5,6000,1.8288,,,
15,.DSCU, 5500-6500   ,2012-08-28,1236,STO,STO,2.5,6000,1.8288,,,
16,.DSCU,6000,2018-09-07,1108,STO,STO,3.76,6000,1.8288,,,
17,.DSCU,6000,2018-09-07,1108,STO,STO,3.76,6000,1.8288,,,
18,.DSCU, 7000-8000  ,2012-08-21,1239,STO,STO,4.15,7500,2.286,,,
19,.DSCU, 4000-5000   ,2012-08-21,1304,STO,STO,4.15,4500,1.3716,,,
20,.DSCU, 7000-8000  ,2012-08-21,1239,STO,STO,4.15,7500,2.286,,,
21,.DSCU, 4000-5000   ,2012-08-21,1304,STO,STO,4.15,4500,1.3716,,,
