,Unnamed: 0,STATE_ZONE,Mixing_heights,Date,Time,PILS,CWA,MH_AGL
0,22,FOECA,12000,2018-08-16,841,RIW,RIW,4.16951785714286
1,23,FOECA,9000,2018-08-16,920,RIW,RIW,4.16951785714286
2,32,.DSCU,4000,2018-08-16,756,CYS,CYS,2.154670634920634
3,55,.DSCU,9400,2011-08-11,406,GJT,GJT,2.532266666666666
4,56,.DSCU,0,2011-08-11,1342,GJT,GJT,2.532266666666666
5,57,.DSCU,0,2011-08-11,1407,GJT,GJT,2.532266666666666
6,58,.DSCU,0,2011-08-11,1537,GJT,GJT,2.532266666666666
7,70,.DSCU,9300,2011-09-05,1032,RIW,RIW,3.4143958333333337
8,71,FOECA,10500,2011-09-05,1718,RIW,RIW,3.4143958333333337
9,72,FOECA,10500,2011-09-05,1900,RIW,RIW,3.4143958333333337
10,73,FOECA,10500,2011-09-05,1911,RIW,RIW,3.4143958333333337
11,74,FOECA,9900,2011-09-05,2009,RIW,RIW,3.4143958333333337
12,89,FOECA,1800,2018-09-28,1026,RIW,RIW,1.172911111111111
13,92,.DSCU,12000,2012-08-29,35,TFX,TFX,2.134326923076923
14,93,.DSCU,12000,2012-08-29,917,TFX,TFX,2.134326923076923
15,94,FOECA,5000,2012-08-29,1442,TFX,TFX,2.134326923076923
16,95,FOECA,4500,2012-08-29,1927,TFX,TFX,2.134326923076923
17,108,.DSCU,9600,2013-09-01,1114,BYZ,BYZ,4.260325648414988
18,109,.DSCU,7700,2011-09-12,1214,BYZ,BYZ,2.0365508021390366
19,110,.DSCU,10000,2012-08-29,1351,BYZ,BYZ,1.4215135135135142
20,111,.DSCU,10900,2012-08-29,1407,BYZ,BYZ,1.4215135135135142
21,112,TEPER,6000,2012-08-29,2040,BYZ,BYZ,1.4215135135135142
22,113,TEPER,6000,2012-08-29,2137,BYZ,BYZ,1.4215135135135142
23,114,.DSCU,10900,2012-08-29,2217,BYZ,BYZ,1.4215135135135142
24,123,FOECA,6500,2013-09-01,1011,RIW,RIW,2.81271964017991
25,124,FOECA, ,2013-09-01,1019,RIW,RIW,2.81271964017991
26,125,FOECA, ,2013-09-01,1031,RIW,RIW,2.81271964017991
27,126,FOECA,7500,2013-09-01,1044,RIW,RIW,2.81271964017991
28,127,FOECA,7600,2013-09-01,1054,RIW,RIW,2.81271964017991
29,148,.DSCU,7300,2018-08-21,1016,PIH,PIH,3.6123293885601617
30,151,.DSCU,13000,2017-09-03,1035,MSO,MSO,3.035629067245116
31,152,.DSCU,12000,2017-09-03,1043,MSO,MSO,3.035629067245116
32,153,Wet w,7500,2017-09-03,1512,MSO,MSO,3.035629067245116
33,154,.DSCU,9000,2017-09-03,1617,MSO,MSO,3.035629067245116
34,155,"Wam, ",6500,2017-09-03,2042,MSO,MSO,3.035629067245116
35,156,.DSCU,8600,2013-08-23,1315,MSO,MSO,2.4798117647058837
36,157,.DSCU,7500,2013-08-23,1719,MSO,MSO,2.4798117647058837
37,158,.DSCU,7200,2013-08-23,2225,MSO,MSO,2.4798117647058837
38,159,.DSCU,7700,2013-08-23,2249,MSO,MSO,2.4798117647058837
39,169,S$,7000,2013-08-23,1221,TFX,TFX,3.0974004914004927
40,170,.DSCU,6500,2011-08-18,1520,TFX,TFX,2.454973333333334
41,172,FOECA,7000,2018-08-05,901,RIW,RIW,2.760849999999999
42,173,FOECA, ,2018-08-05,1007,RIW,RIW,2.760849999999999
43,174,FOECA,9400,2018-08-05,1101,RIW,RIW,2.760849999999999
44,175,FOECA,11400,2018-08-05,1752,RIW,RIW,2.760849999999999
45,176,.DSCU,10700,2012-08-27,323,MSO,MSO,2.4662157894736847
46,177,.DSCU,84500,2012-08-27,1008,MSO,MSO,2.4662157894736847
47,178,.DSCU,6500,2012-08-27,1547,MSO,MSO,2.4662157894736847
48,179,.DSCU,7700,2012-08-27,1912,MSO,MSO,2.4662157894736847
49,180,.DSCU,4900,2012-08-27,2013,MSO,MSO,2.4662157894736847
50,181,.DSCU,10900,2012-08-27,2156,MSO,MSO,2.4662157894736847
51,182,.DSCU,10000,2014-07-16,958,PIH,PIH,2.2641257861635222
52,183,.DSCU,7400,2014-07-16,1053,PIH,PIH,2.2641257861635222
53,184,.DSCU,7000,2014-07-16,1123,PIH,PIH,2.2641257861635222
54,185,.DSCU,9700,2014-07-16,1650,MSO,MSO,3.924458105646628
55,186,.DSCU,9500,2014-07-16,2011,MSO,MSO,3.924458105646628
56,193,.DSCU,7900,2007-08-14,1757,MSO,MSO,1.6787651515151516
57,194,.DSCU,7300,2007-08-14,1948,MSO,MSO,1.6787651515151516
58,195,.DSCU,12000,2018-08-12,1236,MSO,MSO,3.6749484848484872
59,196,.DSCU,11500,2018-08-12,1253,MSO,MSO,3.6749484848484872
60,197,.DSCU,7000,2018-08-12,2212,MSO,MSO,3.6749484848484872
61,198,.DSCU,13500,2018-08-12,2311,MSO,MSO,3.6749484848484872
