OBJECTID,Latitude_min,Longitude_min,Latitude_max,Longitude_max,Date,Time_UTC
1,44.6365,-114.7602,49,-113,2015-08-25,10:00
2,43.018,-115.4067,45.7753,-114.4506,2016-08-27,10:00
3,45.6235,-117.6396,49,-116,2015-08-23,10:10
4,39.9888,-122.5952,41.8813,-121.87,2015-08-05,10:20
5,47.4374,-123.0394,47.7491,-122.9165,2009-08-02,10:35
6,39.6377,-100.8201,43.6262,-102.1409,2011-08-24,20:00
7,47.6666,-102.1561,43.4958,-103.6975,2012-08-26,20:00
8,43.2391,-103.5818,43.6345,-103.7106,2011-08-15,20:10
9,45.8732,-104.6208,46.4268,-104.8234,2008-08-22,20:10
10,45.2798,-104.3367,48.926,-105.7381,2007-08-04,20:10
11,37.5757,-103.1579,41.473,-104.373,2009-09-01,20:15
12,41.3935,-104.4981,41.9541,-104.6726,2011-08-22,20:15
13,45.6537,-104.8819,42.4688,-106.0441,2012-08-24,20:15
14,44.1153,-105.5218,46.1793,-106.2489,2006-08-24,20:15
15,46.9836,-106.548,49,-107.3219,2018-08-09,20:15
16,47.8161,-106.5451,49,-107.3341,2010-08-03,20:15
17,41.1403,-106.0169,49,-108.8772,2018-08-16,20:20
18,33.0314,-105.09,33.193,-105.1339,2011-08-20,20:25
19,37.527,-104.8037,38.9271,-105.2237,2009-08-07,20:25
20,43.4085,-106.7195,44.0248,-106.9392,2009-09-08,20:25
21,38.1864,-103.1713,46.4227,-105.9318,2020-08-21,20:30
22,39.1922,-108.4273,39.2979,-108.4575,2011-08-11,20:30
23,39.8638,-107.133,43.8097,-108.5072,2017-09-05,20:30
24,42.628,-109.2529,43.1093,-109.4082,2018-09-28,20:30
25,43.6539,-108.3828,46.9779,-109.6145,2011-09-05,20:30
26,47.3667,-109.7587,49,-110.4102,2010-08-17,20:30
27,33.6988,-103.7966,35.6099,-104.3498,2020-08-16,20:35
28,42.8821,-109.7461,43.403,-109.9214,2008-08-02,20:35
29,43.5573,-109.9332,43.6199,-109.9547,2006-08-13,20:35
30,43.1444,-109.5722,44.456,-109.9656,2016-07-23,20:35
31,44.1947,-109.9622,43.7749,-110.11,2012-08-29,20:35
32,46.1262,-109.8014,43.0647,-110.9227,2013-09-01,20:35
33,44.8124,-110.4542,46.9623,-111.2681,2011-09-12,20:35
34,47.6315,-110.4265,45.0949,-111.3946,2012-08-29,20:35
35,41.3044,-109.1204,49,-112,2017-08-11,20:35
36,40.4111,-105.7893,40.6868,-105.8797,2020-08-16,20:40
37,42.9778,-111.2383,44.5507,-111.8061,2018-08-21,20:40
38,41.0069,-110.6001,45.7102,-112.2349,2018-08-05,20:40
39,47.5099,-112.8617,47.88,-113.0043,2011-08-18,20:40
40,48.6479,-113.3757,48.728,-113.093,2006-08-04,20:40
41,45.3962,-112.0905,48.4113,-113.2789,2017-09-03,20:40
42,48.9814,-112.6185,46.7072,-113.5335,2013-08-23,20:40
43,39.8698,-111.7167,39.9375,-111.7391,2018-09-13,20:45
44,47.3816,-112.8159,47.594,-112.8962,2009-09-29,20:45
45,43.4491,-112.8935,43.9272,-113.056,2011-08-25,20:45
46,47.3563,-112.7193,48.9454,-113.1392,2019-08-08,20:45
47,44.9474,-113.4966,45.4088,-113.6555,2018-08-12,20:45
48,46.2684,-113.6734,45.6983,-113.8859,2013-07-29,20:45
49,45.6271,-113.7373,47.1159,-114.3143,2007-08-30,20:45
50,48.1694,-113.9605,46.2809,-114.6696,2012-08-27,20:45
51,48.8861,-113.0874,43.9779,-114.9534,2014-07-16,20:45
52,47.5819,-114.4908,48.7965,-114.9621,2007-08-14,20:45
53,47.4178,-114.4218,48.8688,-114.9889,2018-08-12,20:45
54,36.2088,-112.1742,36.313,-112.2028,2011-08-16,20:50
55,38.3862,-112.7457,39.7438,-113.1486,2010-09-30,20:50
56,41.1388,-113.7623,41.1773,-113.7751,2006-08-18,20:50
57,46.4361,-113.9523,46.667,-114.0412,2009-08-03,20:50
58,46.0536,-113.976,46.4675,-114.13,2011-09-10,20:50
59,38.3158,-112.8625,43.4739,-114.5305,2018-08-03,20:50
60,46.6095,-114.1117,48.2333,-114.72,2016-08-22,20:50
61,44.3481,-114.6797,44.1077,-114.7716,2013-07-20,20:50
62,44.7901,-114.6071,44.1799,-114.8248,2012-08-02,20:50
